id,name,category,price,retailer,url,imageUrl,specs,lastUpdated
cpu-0,"Intel Core i9-14900K",cpu,54999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":24,""threads"":32,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-1,"Intel Core i7-14700K",cpu,38999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":20,""threads"":28,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-2,"Intel Core i5-14600K",cpu,28999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":14,""threads"":20,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-3,"Intel Core i9-13900K",cpu,49999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":24,""threads"":32,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-4,"Intel Core i7-13700K",cpu,34999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":16,""threads"":24,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-5,"Intel Core i5-13600K",cpu,26999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":14,""threads"":20,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-6,"Intel Core i5-12400F",cpu,10999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1700"",""cores"":6,""threads"":12,""tdp"":65,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-7,"AMD Ryzen 9 7950X3D",cpu,58999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM5"",""cores"":16,""threads"":32,""tdp"":120,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-8,"AMD Ryzen 7 7800X3D",cpu,36999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM5"",""cores"":8,""threads"":16,""tdp"":120,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-9,"AMD Ryzen 9 7900X",cpu,38999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM5"",""cores"":12,""threads"":24,""tdp"":170,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-10,"AMD Ryzen 7 7700X",cpu,28999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM5"",""cores"":8,""threads"":16,""tdp"":105,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-11,"AMD Ryzen 5 7600X",cpu,21999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM5"",""cores"":6,""threads"":12,""tdp"":105,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-12,"AMD Ryzen 9 5950X",cpu,34999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":16,""threads"":32,""tdp"":105,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-13,"AMD Ryzen 7 5800X3D",cpu,28999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":8,""threads"":16,""tdp"":105,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-14,"AMD Ryzen 5 5600X",cpu,13999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":6,""threads"":12,""tdp"":65,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-15,"Intel Core i9-11900K",cpu,28999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":8,""threads"":16,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-16,"Intel Core i7-11700K",cpu,22999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":8,""threads"":16,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-17,"Intel Core i5-11600K",cpu,16999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":6,""threads"":12,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-18,"Intel Core i9-10900K",cpu,24999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":10,""threads"":20,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-19,"Intel Core i7-10700K",cpu,18999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":8,""threads"":16,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-20,"Intel Core i5-10600K",cpu,13999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":6,""threads"":12,""tdp"":125,""integrated_graphics"":true}",2025-11-30T10:00:00Z
cpu-21,"Intel Core i5-10400F",cpu,8999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""LGA1200"",""cores"":6,""threads"":12,""tdp"":65,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-22,"AMD Ryzen 9 5900X",cpu,28999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":12,""threads"":24,""tdp"":105,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-23,"AMD Ryzen 7 5700X",cpu,16999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":8,""threads"":16,""tdp"":65,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-24,"AMD Ryzen 9 3900X",cpu,22999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":12,""threads"":24,""tdp"":105,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-25,"AMD Ryzen 7 3700X",cpu,14999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":8,""threads"":16,""tdp"":65,""integrated_graphics"":false}",2025-11-30T10:00:00Z
cpu-26,"AMD Ryzen 5 3600",cpu,8500,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=CPU","{""socket"":""AM4"",""cores"":6,""threads"":12,""tdp"":65,""integrated_graphics"":false}",2025-11-30T10:00:00Z
motherboard-0,"ASUS ROG Maximus Z790 Hero",motherboard,68999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":5,""pcie_slots"":3}",2025-11-30T10:00:00Z
motherboard-1,"MSI MPG Z790 Carbon WiFi",motherboard,45999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":5,""pcie_slots"":3}",2025-11-30T10:00:00Z
motherboard-2,"Gigabyte Z790 AORUS Elite AX",motherboard,28999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":4,""pcie_slots"":3}",2025-11-30T10:00:00Z
motherboard-3,"ASRock Z790 Taichi",motherboard,49999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""E-ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":4,""pcie_slots"":2}",2025-11-30T10:00:00Z
motherboard-4,"ASUS TUF Gaming B760-Plus WiFi",motherboard,18999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":3,""pcie_slots"":2}",2025-11-30T10:00:00Z
motherboard-5,"MSI MAG B760M Mortar WiFi",motherboard,16999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""mATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":2,""pcie_slots"":2}",2025-11-30T10:00:00Z
motherboard-6,"Gigabyte B760M DS3H AX",motherboard,13500,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""mATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":2,""pcie_slots"":1}",2025-11-30T10:00:00Z
motherboard-7,"ASUS Prime B660-Plus D4",motherboard,13999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""LGA1700"",""form_factor"":""ATX"",""memory_type"":""DDR4"",""ram_slots"":4,""m2_slots"":3,""pcie_slots"":2}",2025-11-30T10:00:00Z
motherboard-8,"ASUS ROG Crosshair X670E Hero",motherboard,65999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""AM5"",""form_factor"":""ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":4,""pcie_slots"":3}",2025-11-30T10:00:00Z
motherboard-9,"MSI MEG X670E ACE",motherboard,72999,Amazon,"https://amazon.in","https://placehold.co/200x200/1a1a1a/FFF?text=MOTHERBOARD","{""socket"":""AM5"",""form_factor"":""E-ATX"",""memory_type"":""DDR5"",""ram_slots"":4,""m2_slots"":4,""pcie_slots"":3}",2025-11-30T10:00:00Z
